Year,Player,Salary,Games,Minutes,Points
2005,Kobe Byrant,15946875,80,3277,2832
2005,Joe Johnson,12000000,82,3340,1653
2005,LeBron James,4621800,79,3361,2478
2005,Carmelo Anthony,3713640,80,2941,2122
2005,Dwight Howard,4493160,82,3021,1292
2005,Chris Bosh,3348000,70,2751,1572
2005,Chris Paul,3144240,78,2808,1258
2005,Kevin Durant,0,35,1255,903
2005,Derrick Rose,0,40,1168,597
2005,Dwayne Wade,3031920,75,2892,2040
2006,Kobe Byrant,17718750,77,3140,2430
2006,Joe Johnson,12744189,57,2359,1426
2006,LeBron James,5828090,78,3190,2132
2006,Carmelo Anthony,4694041,65,2486,1881
2006,Dwight Howard,4806720,82,3023,1443
2006,Chris Bosh,4235220,69,2658,1561
2006,Chris Paul,3380160,64,2353,1104
2006,Kevin Durant,0,35,1255,903
2006,Derrick Rose,0,40,1168,597
2006,Dwayne Wade,3841443,51,1931,1397
2007,Kobe Byrant,19490625,82,3192,2323
2007,Joe Johnson,13488377,82,3343,1779
2007,LeBron James,13041250,75,3027,2250
2007,Carmelo Anthony,13041250,77,2806,1978
2007,Dwight Howard,6061274,82,3088,1695
2007,Chris Bosh,12455000,67,2425,1496
2007,Chris Paul,3615960,80,3006,1684
2007,Kevin Durant,4171200,80,2768,1624
2007,Derrick Rose,0,40,1168,597
2007,Dwayne Wade,13041250,51,1954,1254
2008,Kobe Byrant,21262500,82,2960,2201
2008,Joe Johnson,14232567,79,3124,1688
2008,LeBron James,14410581,81,3054,2304
2008,Carmelo Anthony,14410581,66,2277,1504
2008,Dwight Howard,13758000,79,2821,1624
2008,Chris Bosh,14410581,77,2928,1746
2008,Chris Paul,4574189,78,3002,1781
2008,Kevin Durant,4484040,74,2885,1871
2008,Derrick Rose,4822800,81,3000,1361
2008,Dwayne Wade,14410581,79,3048,2386
2009,Kobe Byrant,23034375,73,2835,1970
2009,Joe Johnson,14976754,76,2886,1619
2009,LeBron James,15779912,76,2966,2258
2009,Carmelo Anthony,15779912,69,2634,1943
2009,Dwight Howard,15202590,82,2843,1503
2009,Chris Bosh,15779912,70,2526,1678
2009,Chris Paul,13520500,45,1712,841
2009,Kevin Durant,4796880,82,3239,2472
2009,Derrick Rose,5184480,78,2871,1619
2009,Dwayne Wade,15779912,77,2792,2045
2010,Kobe Byrant,24806250,82,2779,2078
2010,Joe Johnson,16324500,72,2554,1312
2010,LeBron James,14500000,79,3063,2111
2010,Carmelo Anthony,17149243,77,2751,1970
2010,Dwight Howard,16647180,78,2935,1784
2010,Chris Bosh,14500000,77,2795,1438
2010,Chris Paul,14940153,80,2880,1268
2010,Kevin Durant,6053663,78,3038,2161
2010,Derrick Rose,5546160,81,3026,2026
2010,Dwayne Wade,14200000,76,2823,1941
2011,Kobe Byrant,25244493,58,2232,1616
2011,Joe Johnson,18038573,60,2127,1129
2011,LeBron James,16022500,62,2326,1683
2011,Carmelo Anthony,18518574,55,1876,1245
2011,Dwight Howard,18091770,54,2070,1113
2011,Chris Bosh,16022500,57,2007,1025
2011,Chris Paul,16359805,60,2181,1189
2011,Kevin Durant,15506632,66,2546,1850
2011,Derrick Rose,6993708,39,1375,852
2011,Dwayne Wade,15691000,49,1625,1082
2012,Kobe Byrant,27849149,78,3013,2133
2012,Joe Johnson,19752645,72,2642,1170
2012,LeBron James,17545000,76,2877,2036
2012,Carmelo Anthony,19450000,67,2482,1920
2012,Dwight Howard,19536360,76,2722,1296
2012,Chris Bosh,17545000,74,2454,1232
2012,Chris Paul,17779458,70,2335,1186
2012,Kevin Durant,16669630,81,3119,2280
2012,Derrick Rose,16402500,0,0,0
2012,Dwayne Wade,17182000,69,2391,1463
2013,Kobe Byrant,30453805,6,177,83
2013,Joe Johnson,21466718,79,2575,1245
2013,LeBron James,19067500,77,2902,2089
2013,Carmelo Anthony,22407474,77,2982,2112
2013,Dwight Howard,20513178,71,2396,1297
2013,Chris Bosh,19067500,79,2531,1281
2013,Chris Paul,18668431,62,2171,1185
2013,Kevin Durant,17832627,81,3122,2593
2013,Derrick Rose,17632688,10,311,159
2013,Dwayne Wade,18673000,54,1775,1028
2014,Kobe Byrant,23500000,35,1207,782
2014,Joe Johnson,23180790,80,2791,1154
2014,LeBron James,20644400,69,2493,1743
2014,Carmelo Anthony,22458000,40,1428,966
2014,Dwight Howard,21436271,41,1223,646
2014,Chris Bosh,20644400,44,1556,928
2014,Chris Paul,20068563,82,2857,1564
2014,Kevin Durant,18995624,27,913,686
2014,Derrick Rose,18862875,51,1530,904
2014,Dwayne Wade,15000000,62,1971,1331
